pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial_2.started,fixxation.started,line_1.started,line_2.started,line_3.started,line_4.started,fixxation.stopped,probe.started,key_resp.started,trial_2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
50,c,9,2,38,2,,,,,242.39281560003292,,242.37958189996425,242.39281560003292,243.3943350999616,243.3943350999616,243.3943350999616,243.3943350999616,243.3943350999616,244.3937678000657,244.3937678000657,245.84814480005298,c,1,1.4533415000187233,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
-150,z,9,3,39,3,,,,,245.8605421000393,,245.84884160000365,245.8605421000393,246.86115000001155,246.86115000001155,246.86115000001155,246.86115000001155,246.86115000001155,247.86176700005308,247.86176700005308,249.21631779999007,z,1,1.3526586999651045,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
-50,x,10,0,40,0,,,,,249.22936180001125,,249.2170468000695,249.22936180001125,250.22924660006538,250.22924660006538,250.22924660006538,250.22924660006538,250.22924660006538,251.22970610007178,251.22970610007178,251.99923249997664,x,1,0.7581756000872701,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
150,v,10,1,41,1,,,,,252.0133308999939,,251.99996340007056,252.0133308999939,253.01389010006096,253.01389010006096,253.01389010006096,253.01389010006096,253.01389010006096,253.99772620003205,253.99772620003205,254.55119490006473,v,1,0.55026180006098,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
50,c,10,2,42,2,,,,,254.56356529996265,,254.55193780001719,254.56356529996265,255.56444560003,255.56444560003,255.56444560003,255.56444560003,255.56444560003,256.5653638000367,256.5653638000367,257.135055199964,c,1,0.560701800044626,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
-150,z,10,3,43,3,,,,,257.14836800005287,,257.13575869996566,257.14836800005287,258.1492848000489,258.1492848000489,258.1492848000489,258.1492848000489,258.1492848000489,259.14968779997434,259.14968779997434,259.6199666999746,z,1,0.4604609999805689,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
-50,x,11,0,44,0,,,,,259.63259629998356,,259.6207838000264,259.63259629998356,260.6332965999609,260.6332965999609,260.6332965999609,260.6332965999609,260.6332965999609,261.63439380005,261.63439380005,262.22113269998226,x,1,0.5817026000004262,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
150,v,11,1,45,1,,,,,262.2334672000725,,262.2218389000045,262.2334672000725,263.23464809998404,263.23464809998404,263.23464809998404,263.23464809998404,263.23464809998404,264.235166199971,264.235166199971,264.7720530000515,v,1,0.533099599997513,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
50,c,11,2,46,2,,,,,264.78533049998805,,264.7727952999994,264.78533049998805,265.78593340003863,265.78593340003863,265.78593340003863,265.78593340003863,265.78593340003863,266.78537010005675,266.78537010005675,267.22303750005085,c,1,0.43093790009152144,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
-150,z,11,3,47,3,,,,,267.23617399996147,,267.2237774999812,267.23617399996147,268.2361377000343,268.2361377000343,268.2361377000343,268.2361377000343,268.2361377000343,269.23688039998524,269.23688039998524,269.7403110000305,z,1,0.48976439994294196,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
